LSOA11CD,domain_supermarket_proximity,domain_supermarket_accessibility,domain_ecommerce_access,domain_socio_demographic,domain_nonsupermarket_proximity,domain_food_for_families,domain_fuel_poverty,country,country_denominator,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
E01011697,3509,4615.0,13499.0,22079,9964,1263,16753.0,E,33755,2053,2,2.0,4.0,7,3,1,5.0,1
E01011698,24120,14933.0,8599.0,24430,28208,50,25632.0,E,33755,17658,8,5.0,3.0,8,9,1,8.0,6
E01011699,18885,8984.0,14568.0,31869,19684,111,32892.0,E,33755,28374,6,3.0,5.0,10,6,1,10.0,9
E01011700,27578,7818.0,8599.0,22738,29255,47,30903.0,E,33755,23228,9,3.0,3.0,7,9,1,10.0,7
E01011701,24269,9132.0,14568.0,28345,30069,15,32157.0,E,33755,28070,8,3.0,5.0,9,9,1,10.0,9
E01011702,15804,7930.0,14568.0,33048,28892,76,23557.0,E,33755,25481,5,3.0,5.0,10,9,1,7.0,8
E01011703,9257,3726.0,14568.0,33569,27576,135,23177.0,E,33755,25746,3,2.0,5.0,10,9,1,7.0,8
E01011704,30312,22089.0,7408.0,16142,32181,19,25118.0,E,33755,23932,9,7.0,3.0,5,10,1,8.0,8
E01011705,25828,8462.0,4068.0,12778,31168,63,14757.0,E,33755,9869,8,3.0,2.0,4,10,1,5.0,3
E01011706,4752,8140.0,14568.0,32748,13750,747,20388.0,E,33755,15880,2,3.0,5.0,10,5,1,7.0,5
E01011707,4107,5665.0,7408.0,19887,11775,1083,22804.0,E,33755,2608,2,2.0,3.0,6,4,1,7.0,1
E01011708,1363,4983.0,14568.0,28720,5915,1754,23578.0,E,33755,7350,1,2.0,5.0,9,2,1,7.0,3
E01011709,3842,12678.0,14568.0,25397,14435,1158,29025.0,E,33755,11866,2,4.0,5.0,8,5,1,9.0,4
E01011710,2858,3620.0,14568.0,26338,5686,1551,30219.0,E,33755,10783,1,2.0,5.0,8,2,1,9.0,4
E01011711,3503,21011.0,14568.0,24862,13801,1270,25687.0,E,33755,10524,2,7.0,5.0,8,5,1,8.0,4
E01011712,2053,2586.0,14568.0,26922,5630,1942,17614.0,E,33755,3567,1,1.0,5.0,8,2,1,6.0,2
E01011713,1654,6204.0,21844.0,32868,3245,2047,16515.0,E,33755,14553,1,2.0,7.0,10,1,1,5.0,5
E01011714,7885,3366.0,17166.0,22301,8378,1954,30608.0,E,33755,10823,3,1.0,6.0,7,3,1,10.0,4
E01011715,4812,8857.0,23805.0,28668,2180,2917,29961.0,E,33755,16334,2,3.0,8.0,9,1,1,9.0,5
E01011716,6784,14672.0,18707.0,22686,10485,1737,24146.0,E,33755,7647,3,5.0,6.0,7,4,1,8.0,3
E01011717,8646,4579.0,9458.0,11387,10728,1820,20606.0,E,33755,1141,3,2.0,3.0,4,4,1,7.0,1
E01011718,12681,2797.0,9458.0,9432,8272,1911,14735.0,E,33755,398,4,1.0,3.0,3,3,1,5.0,1
E01011719,4993,9950.0,17166.0,21897,1235,3633,26279.0,E,33755,6102,2,3.0,6.0,7,1,2,8.0,2
E01011720,19372,4499.0,949.0,4376,9571,1815,9655.0,E,33755,153,6,2.0,1.0,2,3,1,3.0,1
E01011721,15829,12643.0,949.0,3422,9190,1950,3603.0,E,33755,70,5,4.0,1.0,2,3,1,2.0,1
E01011722,13186,21410.0,9458.0,9769,8376,2065,13444.0,E,33755,1688,4,7.0,3.0,3,3,1,4.0,1
E01011723,16381,23751.0,949.0,3199,9252,2008,5617.0,E,33755,622,5,8.0,1.0,1,3,1,2.0,1
E01011724,25458,9623.0,9458.0,6477,11929,1876,9189.0,E,33755,1587,8,3.0,3.0,2,4,1,3.0,1
E01011725,24709,13781.0,949.0,1360,17921,543,2850.0,E,33755,781,8,5.0,1.0,1,6,1,1.0,1
E01011726,17981,23208.0,9458.0,5417,18108,851,6059.0,E,33755,2185,6,7.0,3.0,2,6,1,2.0,1
E01011727,24658,21451.0,18707.0,18211,20680,753,26183.0,E,33755,15952,8,7.0,6.0,6,7,1,8.0,5
E01011728,10130,15787.0,17166.0,21300,11748,1248,20792.0,E,33755,6054,4,5.0,6.0,7,4,1,7.0,2
E01011729,28247,23334.0,9458.0,2561,17347,222,3101.0,E,33755,4175,9,7.0,3.0,1,6,1,1.0,2
E01011730,20994,19920.0,9458.0,3656,15039,613,5435.0,E,33755,1405,7,6.0,3.0,2,5,1,2.0,1
E01011731,19696,11023.0,17166.0,18585,17254,328,22662.0,E,33755,7911,6,4.0,6.0,6,6,1,7.0,3
E01011732,27569,23356.0,18707.0,17253,18130,164,23008.0,E,33755,15072,9,7.0,6.0,6,6,1,7.0,5
E01011733,25962,26638.0,9458.0,15643,17012,95,19803.0,E,33755,11199,8,8.0,3.0,5,6,1,6.0,4
E01011734,20389,18150.0,27352.0,21647,16961,308,26191.0,E,33755,17213,7,6.0,9.0,7,6,1,8.0,6
E01011735,13195,15719.0,949.0,2277,14606,700,5025.0,E,33755,146,4,5.0,1.0,1,5,1,2.0,1
E01011736,21853,18484.0,9458.0,17120,16773,212,20676.0,E,33755,7143,7,6.0,3.0,6,5,1,7.0,3
E01011737,14880,16883.0,9458.0,4970,16374,402,6534.0,E,33755,756,5,6.0,3.0,2,5,1,2.0,1
E01011738,7379,12143.0,17166.0,20290,11805,900,23402.0,E,33755,5655,3,4.0,6.0,7,4,1,7.0,2
E01011739,26496,16544.0,949.0,3195,21097,615,5351.0,E,33755,2281,8,5.0,1.0,1,7,1,2.0,1
E01032487,21240,10693.0,9458.0,7325,9130,1965,10979.0,E,33755,988,7,4.0,3.0,3,3,1,4.0,1
E01032488,15272,10523.0,23805.0,23547,8392,2071,31426.0,E,33755,17994,5,4.0,8.0,7,3,1,10.0,6
E01032489,21789,15950.0,18707.0,12859,31025,379,13194.0,E,33755,12059,7,5.0,6.0,4,10,1,4.0,4
E01032490,15714,10485.0,27352.0,28017,29404,446,31337.0,E,33755,27639,5,4.0,9.0,9,9,1,10.0,9
E01032491,14058,5169.0,27352.0,30480,28028,606,31681.0,E,33755,28405,5,2.0,9.0,10,9,1,10.0,9
E01032492,24183,27107.0,9458.0,5823,31991,485,5712.0,E,33755,13276,8,9.0,3.0,2,10,1,2.0,4
E01032493,11074,11883.0,18707.0,21129,12148,573,28946.0,E,33755,10897,4,4.0,6.0,7,4,1,9.0,4
E01032494,8190,31314.0,9458.0,4515,12988,664,4967.0,E,33755,3540,3,10.0,3.0,2,4,1,2.0,2
E01032496,7074,17889.0,18707.0,22167,8344,1823,26800.0,E,33755,9573,3,6.0,6.0,7,3,1,8.0,3
E01032497,25527,8604.0,9458.0,3586,12184,953,3713.0,E,33755,790,8,3.0,3.0,2,4,1,2.0,1
E01032498,27718,19708.0,16498.0,12063,13196,784,14829.0,E,33755,7432,9,6.0,5.0,4,4,1,5.0,3
E01032499,18285,10010.0,18707.0,21497,17454,332,29713.0,E,33755,14554,6,3.0,6.0,7,6,1,9.0,5
E01032500,24112,15206.0,6632.0,2416,16240,251,1315.0,E,33755,888,8,5.0,2.0,1,5,1,1.0,1
E01032501,9117,21123.0,23805.0,23819,10437,1503,26920.0,E,33755,13991,3,7.0,8.0,8,4,1,8.0,5
E01032502,9461,11760.0,18707.0,7133,12500,1337,9518.0,E,33755,829,3,4.0,6.0,3,4,1,3.0,1
E01032503,10046,10145.0,14568.0,31812,10732,1096,28412.0,E,33755,18773,3,4.0,5.0,10,4,1,9.0,6
E01032504,4991,11120.0,23805.0,32501,7544,2106,17918.0,E,33755,16465,2,4.0,8.0,10,3,1,6.0,5
E01032606,28209,16008.0,9458.0,9410,21408,524,12501.0,E,33755,6247,9,5.0,3.0,3,7,1,4.0,2
E01032607,26877,20075.0,9458.0,4392,16265,318,6414.0,E,33755,3224,8,6.0,3.0,2,5,1,2.0,1
E01032608,22737,16774.0,6632.0,6004,15216,296,4121.0,E,33755,1193,7,5.0,2.0,2,5,1,2.0,1
E01032876,11804,8825.0,31672.0,31050,8831,400,17743.0,E,33755,19670,4,3.0,10.0,10,3,1,6.0,6
E01032946,18101,18644.0,31672.0,15406,21444,51,9756.0,E,33755,13293,6,6.0,10.0,5,7,1,3.0,4
E01033002,31582,25296.0,6632.0,3524,32595,57,15671.0,E,33755,21162,10,8.0,2.0,2,10,1,5.0,7
E01033003,33064,22080.0,6632.0,774,32456,81,5613.0,E,33755,20155,10,7.0,2.0,1,10,1,2.0,6
E01033008,33351,26961.0,30601.0,15926,32428,255,21392.0,E,33755,31971,10,8.0,10.0,5,10,1,7.0,10
E01033010,33598,24337.0,31672.0,12359,33391,196,15125.0,E,33755,32362,10,8.0,10.0,4,10,1,5.0,10
E01033011,32484,25053.0,30601.0,9712,33529,291,25884.0,E,33755,32192,10,8.0,10.0,3,10,1,8.0,10
E01033013,16978,13620.0,6632.0,2883,25027,77,7190.0,E,33755,1461,6,5.0,2.0,1,8,1,3.0,1
E01033015,31020,11249.0,30601.0,23582,30372,245,24934.0,E,33755,28524,10,4.0,10.0,7,9,1,8.0,9
E01033016,33004,19357.0,30601.0,15620,32711,283,31255.0,E,33755,32833,10,6.0,10.0,5,10,1,10.0,10
E01033021,19188,9891.0,949.0,2882,30356,417,11303.0,E,33755,3767,6,3.0,1.0,1,9,1,4.0,2
E01033031,30986,28948.0,6632.0,2287,30698,159,13628.0,E,33755,18415,10,9.0,2.0,1,10,1,5.0,6
E01033033,27117,20048.0,31672.0,9955,32993,353,24993.0,E,33755,28773,9,6.0,10.0,3,10,1,8.0,9
E01033034,26006,20256.0,30601.0,23374,32066,434,26117.0,E,33755,29214,8,7.0,10.0,7,10,1,8.0,9
E01033035,33034,24940.0,949.0,435,30807,203,217.0,E,33755,16428,10,8.0,1.0,1,10,1,1.0,5
E01035040,21890,18510.0,23792.0,14094,16719,33,1619.0,E,33755,5146,7,6.0,8.0,5,5,1,1.0,2
E01035041,20773,20860.0,31672.0,18821,18964,48,5546.0,E,33755,14253,7,7.0,10.0,6,6,1,2.0,5
E01035042,16088,27098.0,30580.0,4370,26031,60,11078.0,E,33755,14241,5,9.0,10.0,2,8,1,4.0,5
E01035043,27134,27144.0,31672.0,5476,27250,42,1097.0,E,33755,18943,9,9.0,10.0,2,9,1,1.0,6
E01035044,18001,25774.0,31672.0,9840,26743,107,3944.0,E,33755,15662,6,8.0,10.0,3,8,1,2.0,5
E01035045,14748,28481.0,27346.0,5837,26539,151,8387.0,E,33755,11982,5,9.0,9.0,2,8,1,3.0,4
E01035046,28861,11860.0,30601.0,6907,27115,133,27312.0,E,33755,22669,9,4.0,10.0,3,9,1,9.0,7
E01035047,20946,14710.0,23721.0,7014,26439,74,23745.0,E,33755,11893,7,5.0,8.0,3,8,1,8.0,4
E01035048,28926,7811.0,18707.0,16616,11398,1169,24256.0,E,33755,11142,9,3.0,6.0,5,4,1,8.0,4
E01035049,22497,9320.0,17158.0,17563,8672,1377,30140.0,E,33755,12647,7,3.0,6.0,6,3,1,9.0,4
E01035050,18548,11295.0,18664.0,12759,11448,1120,16325.0,E,33755,3345,6,4.0,6.0,4,4,1,5.0,1
E01035051,17006,12636.0,27352.0,24166,8485,1268,29116.0,E,33755,17349,6,4.0,9.0,8,3,1,9.0,6
E01035052,7622,4056.0,27352.0,18078,4426,1449,15070.0,E,33755,3503,3,2.0,9.0,6,2,1,5.0,2
E01035053,6164,9263.0,23786.0,23001,5097,2181,25989.0,E,33755,8733,2,3.0,8.0,7,2,1,8.0,3
E01035054,30387,11174.0,31663.0,24371,31557,453,25445.0,E,33755,30040,10,4.0,10.0,8,10,1,8.0,9
