LSOA11CD,centroid_x,centroid_y
E01011494,430103.586,427693.545
E01011412,436828.788,434009.237
E01011493,429335.593,427832.443
E01011413,435758.44,434080.140000001
E01011410,437576.926,435104.626
E01011411,437356.8,433377.835000001
E01011418,436906.889,433254.184
E01011419,436576.297,433052.233999999
E01011626,431600.301,432863.256999999
E01011624,434128.744,432907.731000001
E01011625,432030.049,432893.509
E01011622,433806.959,433637.452
E01011623,432088.904,433300.827
E01011620,434478.918,433058.640000001
E01011621,433282.183,433009.586999999
E01011628,434676.652,428825.161
E01011629,434395.841,428582.658
E01011366,428873.396,431898.923
E01011364,429642.083,431761.285
E01011362,427683.719,432683.718
E01011363,428195.339,433034.619000001
E01011360,430745.514,435533.891000001
E01011361,431176.135,435532.734999999
E01011368,429093.704,431841.902000001
E01011369,428419.026,430989.324999999
E01011506,429936.437,437869.391000001
E01011587,421932.119,434102.084000001
E01011507,429785.27,437371.517999999
E01011586,420207.122,433738.950999999
E01011504,431228.661,437630.277000001
E01011585,421734.602,433731.194
E01011505,429616.407,438110.386
E01011502,431662.205,428518.169
E01011583,420160.726,446570.219000001
E01011582,419093.494,446484.833000001
E01011500,433259.507,426064.9
E01011581,419636.585,446492.377
E01011580,421280.579,439657.056
E01011589,420645.696,436983.286
E01011509,431404.035,439103.668
E01011588,420865.31,436630.703
E01011687,426374.92,437913.078
E01011606,419690.825,432788.098999999
E01011686,425885.048,437809.558
E01011607,422627.902,432396.843
E01011685,426933.822,437187.231000001
E01011604,422191.829,432782.106000001
E01011684,426381.645,438467.249
E01011605,421399.143,432884.731000001
E01011602,421650.267,433141.24
E01011603,422025.699,432385.228
E01011681,428663.05,434474.432
E01011600,422603.086,432923.194
E01011601,423192.74,432689.165999999
E01011689,428494.696,437432.255999999
E01011608,423946.418,433942.719000001
E01011688,429060.054,437269.696
E01011609,423316.217,434083.881999999
E01032497,430632.834,428542.672
E01032496,432608.493,427086.943
E01032494,425260.43,437020.665999999
E01032493,425384.719,436653.927999999
E01032492,426947.925,427643.177999999
E01032491,427398.013,427193.698999999
E01032490,427381.844,427593.903000001
E01032499,425863.873,433881.448999999
E01032498,430163.337,428231.077
E01011346,433763.632,434358.079
E01011347,432585.457,434400.106000001
E01011344,432456.343,434691.851
E01011345,435841.274,434557.153999999
E01011342,433547.995,434769.327
E01011343,434890.445,434832.402000001
E01011340,432979.42,434470.049000001
E01011341,434407.894,434055.959000001
E01011348,432627.916,434147.286
E01011349,431835.974,434015.165999999
E01011446,428100.579,435262.875
E01011444,428679.998,435203.048
E01011445,428406.032,435220.09
E01011442,428205.542,435529.868000001
E01011443,428839.907,435513.914000001
E01011440,427837.58,436022.562999999
E01011441,427825.296,435434.18
E01011448,428550.072,434986.060000001
E01011449,428292.236,434869.695
E01011736,426929.659,432126.848999999
E01011737,426114.015,431893.499
E01011734,426568.848,431536.029999999
E01011735,425534.224,432231.339
E01011732,426948.092,432691.331
E01011733,427321.255,432239.301999999
E01011730,425649.22,432647.352
E01011731,426420.124,432551.630999999
E01011738,424930.402,431390.602
E01011739,424951.816,433781.882999999
E01011574,420321.913,445219.015000001
E01011714,435997.894,437972.764
E01011303,442019.645,430290.702
E01011269,420783.71,441370.425000001
E01011554,428863.909,439933.173
E01011650,432676.961,439152.68
E01011651,432173.386,439446.689999999
E01011280,418561.248,442712.164999999
E01011569,420471.828,445582.899
E01011452,423351.252,437101.42
E01011702,439617.194,448480.970000001
E01011701,440075.991,448841.448999999
E01011665,435872.579,435401.369000001
E01011644,433573.999,437031.108999999
E01011525,426152.455,428352.111
E01011492,430360.291,427508.108999999
E01011491,429491.175,427909.444
E01011627,435035.419,428851.279999999
E01011584,420418.127,446284.233999999
E01011508,431764.975,438880.389
E01011447,428188.017,435020.196
